Rank,Title,Author,Rating,Format,Copies,Availability,Wait Time,Wait Weeks
1,The Women,Kristin Hannah,4.4,EBOOK,25.0,WAIT LIST,6 months,27.0
2,Five Total Strangers,Natalie D. Richards,3.5,EBOOK,12.0,AVAILABLE,No wait,0.0
3,It Ends With Us,Colleen Hoover,4.3,EBOOK,15.0,WAIT LIST,6 months,27.0
4,Funny Story,Emily Henry,4.2,EBOOK,18.0,WAIT LIST,6 months,27.0
5,Iron Flame,Rebecca Yarros,4.2,EBOOK,18.0,WAIT LIST,23 weeks,23.0
6,All the Colors of the Dark,Chris Whitaker,3.8,EBOOK,16.0,WAIT LIST,6 months,27.0
7,The Bone Witch,Rin Chupeco,4.0,EBOOK,4.0,AVAILABLE,No wait,0.0
8,Remarkably Bright Creatures,ShelVan Pelt,4.4,EBOOK,25.0,WAIT LIST,8 weeks,8.0
9,First Lie Wins,Ashley Elston,4.0,EBOOK,25.0,WAIT LIST,6 months,27.0
10,None of This Is True,Lisa Jewell,4.0,EBOOK,15.0,WAIT LIST,6 months,27.0
11,It Starts With Us,Colleen Hoover,4.0,EBOOK,5.0,WAIT LIST,6 months,27.0
12,I Will Find You,Harlan Coben,3.9,EBOOK,17.0,AVAILABLE,No wait,0.0
13,The Woman in Me,Britney Spears,3.8,EBOOK,20.0,WAIT LIST,2 weeks,2.0
14,The Quiet Girl,S. F. Kosa,3.6,EBOOK,6.0,AVAILABLE,No wait,0.0
15,The Last Thing He Told Me,Laura Dave,3.9,EBOOK,10.0,WAIT LIST,3 weeks,3.0
16,The God of the Woods,Liz Moore,3.9,EBOOK,17.0,WAIT LIST,6 months,27.0
17,Demon Copperhead,Barbara Kingsolver,4.2,EBOOK,2.0,WAIT LIST,6 months,27.0
18,The Paradise Problem,Christina Lauren,4.0,EBOOK,12.0,WAIT LIST,6 months,27.0
19,Here One Moment,Liane Moriarty,3.8,EBOOK,20.0,WAIT LIST,6 months,27.0
20,Happy Place,Emily Henry,3.8,EBOOK,12.0,WAIT LIST,6 months,27.0
21,One Summer in Savannah,Terah Shelton Harris,3.8,EBOOK,4.0,WAIT LIST,3 weeks,3.0
22,"River Woman, River Demon",Jennifer Givhan,3.3,EBOOK,1.0,AVAILABLE,No wait,0.0
23,A Very Typical Family,Sierra Godfrey,3.6,EBOOK,6.0,AVAILABLE,No wait,0.0
24,Before We Were Yours,Lisa Wingate,4.3,EBOOK,40.0,AVAILABLE,No wait,0.0
25,Hang the Moon,Jeannette Walls,3.7,EBOOK,16.0,AVAILABLE,No wait,0.0
26,The Heaven & Earth Grocery Store,James McBride,3.9,EBOOK,14.0,WAIT LIST,6 months,27.0
27,The Exchange,John Grisham,3.2,EBOOK,3.0,WAIT LIST,6 months,27.0
28,Simply Lies,David Baldacci,3.5,EBOOK,20.0,AVAILABLE,No wait,0.0
29,Fourth Wing,Rebecca Yarros,4.4,EBOOK,20.0,WAIT LIST,6 months,27.0
30,The Nightingale,Kristin Hannah,4.5,EBOOK,15.0,WAIT LIST,6 months,27.0
31,Eruption,Michael Crichton,3.4,EBOOK,11.0,WAIT LIST,6 months,27.0
32,Cross Down,James Patterson,4.1,EBOOK,12.0,WAIT LIST,2 weeks,2.0
33,The Boys in the Boat,Daniel James Brown,4.4,EBOOK,26.0,AVAILABLE,No wait,0.0
34,The 23rd Midnight,James Patterson,4.1,EBOOK,17.0,AVAILABLE,No wait,0.0
35,The Wedding People,Alison Espach,3.6,EBOOK,12.0,WAIT LIST,6 months,27.0
36,The Frozen River,Ariel Lawhon,4.3,EBOOK,15.0,WAIT LIST,6 months,27.0
37,Verity,Colleen Hoover,4.0,EBOOK,8.0,WAIT LIST,6 months,27.0
38,A World of Curiosities,Louise Penny,4.2,EBOOK,19.0,AVAILABLE,No wait,0.0
39,Tastes Like War,Grace M. Cho,3.9,EBOOK,3.0,WAIT LIST,2 weeks,2.0
40,Swan Song,Elin Hilderbrand,3.9,EBOOK,10.0,WAIT LIST,6 months,27.0
41,One Perfect Couple,Ruth Ware,3.8,EBOOK,9.0,WAIT LIST,6 months,27.0
42,The Waiting,Michael Connelly,4.2,EBOOK,12.0,WAIT LIST,6 months,27.0
43,Book of the Little Axe,Lauren Francis-Sharma,3.4,EBOOK,3.0,AVAILABLE,No wait,0.0
44,Lessons in Chemistry,Bonnie Garmus,4.2,EBOOK,16.0,WAIT LIST,6 months,27.0
45,Throne of Glass,Sarah J. Maas,4.5,EBOOK,15.0,WAIT LIST,6 months,27.0
46,The Pumpkin Spice Café,Laurie Gilmore,3.3,EBOOK,11.0,WAIT LIST,6 months,27.0
47,Hillbilly Elegy,J. D. Vance,3.5,EBOOK,0.0,WAIT LIST,Wait time: Not available,
48,Holly,Stephen King,3.8,EBOOK,15.0,WAIT LIST,3 weeks,3.0
49,The Covenant of Water,Abraham Verghese,4.1,EBOOK,18.0,WAIT LIST,13 weeks,13.0
50,Zero Days,Ruth Ware,3.6,EBOOK,12.0,AVAILABLE,No wait,0.0
51,Three-Inch Teeth,C. J. Box,4.0,EBOOK,15.0,WAIT LIST,2 weeks,2.0
52,Powerless,Lauren Roberts,4.2,EBOOK,14.0,WAIT LIST,6 months,27.0
53,Tell Me Everything,Elizabeth Strout,4.0,EBOOK,14.0,WAIT LIST,6 months,27.0
54,The Fury,Alex Michaelides,3.0,EBOOK,10.0,WAIT LIST,4 weeks,4.0
55,The Eight,Katherine Neville,3.8,EBOOK,1.0,WAIT LIST,12 weeks,12.0
56,Alex Cross Must Die,James Patterson,4.0,EBOOK,10.0,WAIT LIST,2 weeks,2.0
57,Part of Your World,AbJimenez,4.3,EBOOK,13.0,WAIT LIST,6 months,27.0
58,Oath and Honor,Liz Cheney,3.5,EBOOK,12.0,WAIT LIST,2 weeks,2.0
59,The Life Impossible,Matt Haig,2.7,EBOOK,15.0,WAIT LIST,6 months,27.0
60,The Briar Club,Kate Quinn,4.2,EBOOK,12.0,WAIT LIST,6 months,27.0
61,Den of Iniquity,J. A. Jance,4.1,EBOOK,11.0,WAIT LIST,6 months,27.0
62,Hello Beautiful,Ann Napolitano,3.9,EBOOK,10.0,WAIT LIST,6 months,27.0
63,Book Lovers,Emily Henry,4.2,EBOOK,6.0,WAIT LIST,6 months,27.0
64,Identity,Nora Roberts,4.0,EBOOK,18.0,AVAILABLE,No wait,0.0
65,"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,4.0,EBOOK,10.0,WAIT LIST,6 months,27.0
66,The Rom-Commers,Katherine Center,4.3,EBOOK,10.0,WAIT LIST,6 months,27.0
67,Toxic Prey,John Sandford,4.2,EBOOK,15.0,AVAILABLE,No wait,0.0
68,The River We Remember,William Kent Krueger,4.1,EBOOK,12.0,WAIT LIST,4 weeks,4.0
69,This is Why We Lied,Karin Slaughter,4.0,EBOOK,11.0,WAIT LIST,6 months,27.0
70,Lady Tan's Circle of Women,Lisa See,4.3,EBOOK,14.0,WAIT LIST,7 weeks,7.0
71,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,4.3,EBOOK,12.0,WAIT LIST,6 months,27.0
72,Heart Bones,Colleen Hoover,4.2,EBOOK,10.0,WAIT LIST,2 weeks,2.0
73,Think Twice,Harlan Coben,4.0,EBOOK,10.0,WAIT LIST,24 weeks,24.0
